id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,residuals,internal_msg
1,MSS1,90,73,0,first_order,-16.000555385357103,0.194,172,6.282205688989961e-8,1.0e-5,194,190,194,0,0,199,0,0,181,0,0,0,0,0,0,0,0,0,0,,"[7.2714245289259285e-9, 1.3939974779575273e-6, 9.966136278711917e-7, 1.4401462385621497e-6, 1.5057554516359815e-6, -1.4510908912412981e-6, 9.970261275744007e-7, -3.5885684000946466e-6, -5.840494674172828e-6, -6.12371497326196e-9, -3.635765862742175e-7, 4.591939833910982e-6, 8.690151973368333e-6, 1.253515021335334e-6, -4.1307582996998245e-6, 3.0618273633868974e-6, -4.148945339400121e-6, 3.114825379617722e-6, -2.678460085746714e-9, -8.309157703250342e-7, 7.245296471118724e-7, -1.2840080575882322e-7, -1.0117633607409064e-6, 1.3361662276925329e-6, 8.52840556772406e-7, -1.0192654510992691e-6, 6.589686081192016e-7, -1.1445018655581796e-6, -3.4050269197006954e-7, 1.4170995617906641e-6, 1.8039734167240191e-6, 1.996378532153662e-7, 8.609731546355201e-9, -2.0314685515960167e-14, 1.2483712868655586e-6, -1.1614727239197577e-8, 1.8541001259521214e-8, -3.2200215268641e-8, 7.055714290055952e-7, -1.157124340239971e-6, 9.356875703983529e-8, 1.2827624830753247e-7, 1.8632498412758626e-6, 1.3736985622975554e-6, 4.447616439670906e-7, -4.574751635042617e-10, 1.2498943339523109e-6, -3.982524577899499e-7, 4.4493108954755903e-7, -5.039121001940272e-9, -1.252341417008042e-7, -3.350017095961743e-7, 7.058190869544051e-7, 3.6597853144748445e-7, -1.2514126937208865e-7, 2.848970734277045e-7, 2.930284131791126e-7, -2.728805292170769e-7, 1.6432232748999265e-8, 6.673327796212264e-8, 1.6409413453580142e-8, -2.3721067376271295e-6, -5.277400192966105e-6, 1.3943686667299098e-5, -8.579175387463623e-6, -2.3078737089127452e-6, -2.8239701375050503e-9, -3.591649412327442e-8, 5.990284165434649e-7, 1.7596778391852864e-6, -4.330388070597736e-6, 6.782486290584148e-8, -1.160125587783905e-6]",Solve_Succeeded
2,WAYSEA1NE,2,2,0,first_order,0.0,0.004,6,1.51863551111473e-6,0.01,9,12,9,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,,"[-3.268676274998699e-7, 5.667060766997651e-8]",Solve_Succeeded
3,BROWNDENE,4,20,0,max_iter,0.0,4.849,10504,6.096252001519315e9,10.0,13307,10562,13308,0,0,10583,0,0,10541,0,0,0,0,0,0,0,0,0,0,,"[-105.31990096310378, -62.43407720880622, -31.387609276839743, -11.474038240780363, -1.7843554816030298, -1.1616919238206305, -8.155506184024857, -20.980375101275925, -37.48782328659251, -55.1650355449149, -71.18296000718189, -82.53001385122084, -86.2889981000504, -80.14783625225104, -63.285363070692064, -37.850260126745, -11.367910371370392, -0.5858696604899709, -37.533950730540276, -178.97373297665536]",Solve_Failed
4,HS79,5,3,0,first_order,0.0787768259287991,0.003,4,7.142994917774814e-9,0.001,8,12,8,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,,"[-3.581459938856478e-8, -1.9534300039081182e-7, -5.629591518031601e-7]",Solve_Succeeded
5,GULFNE,3,99,0,max_iter,0.0,0.03600000000000001,23,0.00018189894035458565,0.1,131,65,131,0,0,86,0,0,44,0,0,0,0,0,0,0,0,0,0,,"[-0.99, -0.98, -0.97, -0.96, -0.95, -0.94, -0.9299999999999999, -0.92, -0.91, -0.9, -0.89, -0.88, -0.87, -0.86, -0.85, -0.84, -0.83, -0.8200000000000001, -0.81, -0.8, -0.79, -0.78, -0.77, -0.76, -0.75, -0.74, -0.73, -0.72, -0.71, -0.7, -0.69, -0.6799999999999999, -0.6699999999999999, -0.6599999999999999, -0.65, -0.64, -0.63, -0.62, -0.61, -0.6, -0.5900000000000001, -0.5800000000000001, -0.5700000000000001, -0.56, -0.55, -0.54, -0.53, -0.52, -0.51, -0.5, -0.49, -0.48, -0.47, -0.45999999999999996, -0.44999999999999996, -0.43999999999999995, -0.43000000000000005, -0.42000000000000004, -0.41000000000000003, -0.4, -0.39, -0.38, -0.37, -0.36, -0.35, -0.33999999999999997, -0.32999999999999996, -0.31999999999999995, -0.31000000000000005, -0.30000000000000004, -0.29000000000000004, -0.28, -0.27, -0.26, -0.25, -0.24, -0.22999999999999998, -0.21999999999999997, -0.20999999999999996, -0.19999999999999996, -0.18999999999999995, -0.18000000000000005, -0.17000000000000004, -0.16000000000000003, -0.15000000000000002, -0.14, -0.13, -0.12, -0.10999999999999999, -0.09999999999999998, -0.08999999999999997, -0.07999999999999996, -0.06999999999999995, -0.06000000000000005, -0.050000000000000044, -0.040000000000000036, -0.030000000000000027, -0.020000000000000018, -0.010000000000000009]",Solve_Failed
6,JUDGENE,2,20,0,max_iter,0.0,22.869999999999997,51436,1.9273912377448142e8,1.0,51457,51478,51457,0,0,51499,0,0,51457,0,0,0,0,0,0,0,0,0,0,,"[2.0806632978195103, 1.188302307276326, 2.0641653996227665, -0.7615154370990622, -0.5511623807865954, -0.3365806720653985, -0.2980594630535196, 0.8861128100124934, 0.41934255304803497, -0.6219807586977039, -0.1324259412148221, -0.9875314579591694, -0.12853197518823503, 0.016006756972941884, 0.21416085746271799, -0.29890558116240695, -0.5315727392187449, -1.187583837618026, -0.1491322800367201, -0.8866268985001556]",Solve_Failed
7,STRTCHDVNE,10,9,0,first_order,0.0,0.004,5,3.258154361648996e-5,0.0001,10,15,10,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,,"[-1.4642787406513557e-6, -1.497682230764596e-7, -1.355946686246291e-6, -2.2018110885180524e-7, -1.32130070702171e-6, -2.2018110885180862e-7, -1.3559466862462623e-6, -1.49768223076429e-7, -1.46427874065136e-6]",Solve_Succeeded
8,TRIGON1NE,10,10,0,first_order,0.0,0.004,4,7.35401644052493e-5,0.001,8,12,8,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,,"[2.9287879216077783e-5, 6.299482896935521e-6, 2.548666842541042e-6, 1.3559424569750678e-6, 8.373139670191099e-7, 5.674458026967699e-7, 4.0970956717047147e-7, 3.0970192088815296e-7, 2.423701402475692e-7, 1.948964673658543e-7]",Solve_Succeeded
9,PENLT1NE,10,11,0,first_order,0.0,0.003,5,8.08716689013678e-5,0.1,7,9,7,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[9.4025404744118e-6, 9.06024657065089e-6, 8.717952666889979e-6, 8.375658763129069e-6, 8.033364859368158e-6, 7.691070955607248e-6, 7.348777051846336e-6, 7.006483148085426e-6, 6.664189244324516e-6, 6.321895340563605e-6, 4.1651544435321e-6]",Solve_Succeeded
10,BA-L1SP,57,12,0,first_order,0.0,0.007,4,9.999002763478449e-5,0.1,6,8,6,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,,"[-9.999665083297582e-7, -9.999628973380442e-7, -9.999165453446202e-7, -9.999500246282017e-7, -9.999175418443779e-7, -9.999639264939714e-7, -9.997085512140208e-7, -9.985819154744585e-7, -9.997815112027658e-7, -9.986001155166263e-7, -9.998348139278468e-7, -9.99187521454753e-7]",Solve_Succeeded
